words,density,energy,forces,mass and weight,moments,momentum,motion
directly,0.0,0.0,0.0,0.0,0.0,0.0,0.0
must,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,0.0,0.0,0.0,0.0,0.0,0.0,0.0
double,0.0,1.0162272180590246,0.0,0.0,0.22700331274062133,0.0,0.0
vehicle,0.0,0.0,0.0,0.0,0.0,0.0,4.892514395393474
laboratory,0.0,1.5552317513183458,0.0,2.4383288487411114,0.0,0.0,0.0
walk,0.0,3.629197890646683,0.0,0.0,0.0,0.0,0.0
attach,0.0,0.0,0.0,0.0,2.25624496373892,0.0,0.0
across,0.0,0.0,0.0,0.0,0.0,0.0,0.0
value,0.0,0.0,0.0,0.0,0.6908705643596857,0.0,0.2876946043932606
statement,0.0,0.05574414483656776,0.0,0.13640059728854656,0.0,0.0,0.7953639450760371
become,0.0,0.0,0.0,0.0,0.0,0.0,0.0
journey,0.0,0.0,0.0,0.0,0.0,0.0,3.9849894187706076
together,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swing,0.0,0.0,0.0,0.0,3.4464141821111998,0.0,0.0
around,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manometer,0.0,0.0,0.0,5.045166250240246,0.0,0.0,0.0
certain,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geologist,0.0,0.0,0.0,1.8958053046319432,0.0,0.0,0.5233525271912987
instrument,0.0,0.0,0.0,2.653757447626369,0.0,0.0,0.0
bench,0.0,1.9389397724118789,0.0,0.0,0.0,0.0,0.0
reaction,0.0,3.300860394116014,0.0,0.0,0.0,0.0,0.0
mid,0.0,0.0,0.0,0.0,1.0265914585012086,0.0,0.0
plank,0.0,0.0,0.0,0.0,3.489658877249529,0.0,0.0
stand,0.0,0.0,0.0,0.2710935998462425,0.8502700928164263,0.0,0.06110044785668576
track,0.0,0.7591590341382182,0.0,0.0,0.0,0.0,3.974808061420345
slow,0.0,0.09545748912942899,0.0,0.0,0.0,0.0,1.1763275751759437
surrounding,0.0,1.855398279211768,0.0,0.0,0.0,0.0,0.0
sequence,0.0,3.4562864279766856,0.0,0.0,0.0,0.0,0.0
rest,0.0,0.290668270268603,0.0,0.0,0.17910685329433645,0.0,0.5138977749342433
give,0.0,0.0,0.0,0.0,0.0,0.0,0.0
start,0.0,2.1273938384679427,0.0,0.0,0.0,0.0,0.0
uranium,0.0,2.2303635859006383,0.0,0.0,0.0,0.0,0.0
downhill,0.0,0.0,0.0,0.0,0.0,0.0,5.702495201535508
within,0.0,0.0,0.0,0.0,0.0,0.0,0.0
along,0.0,0.0,0.0,0.0,0.0,0.0,0.0
affect,0.0,1.3996977827119375,0.0,0.0,0.0,0.0,0.7294732352313923
run,0.0,2.976408548431862,0.0,0.0,0.0,0.0,0.0
figure,0.0,0.0,1.9583903640843137,0.0,0.0,0.0,0.0
deceleration,0.0,0.0,0.0,0.0,0.0,0.0,7.0
resultant,0.0,0.0,0.0,0.0,2.437245948607753,0.0,0.6927703134996799
move,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electrical,0.0,6.298640022203719,0.0,0.0,0.0,0.0,0.0
elastic,0.0,0.9178231103709868,3.080504608084679,0.0,0.0,0.0,0.0
line,0.0,0.0,0.0,0.0,0.0,0.0,3.1880998080614193
two,0.0,0.0,0.0,0.0,0.0,0.0,0.0
work,0.0,2.5336013479227466,0.0,0.0,0.0,0.0780016072623115,0.0
near,0.0,0.0,0.0,0.0,0.0,0.0,0.30646193218170176
truck,0.0,0.0,0.0,0.0,3.6118721461187215,0.0,0.0
generate,0.0,5.037746322509019,0.0,0.0,0.0,0.0,0.0
point,0.0,0.19541585715607357,0.0,0.0,0.7496530575700602,0.0,0.2470142887609298
five,0.0,0.0,0.0,0.0,0.0,0.0,0.0
string,0.0,0.0,0.0,0.0,1.2503357507386514,0.0,0.0
second,0.0,0.0,0.0,0.0,0.0,0.0,0.45553422904670493
unbalanced,0.0,0.0,0.0,0.0,3.9315068493150678,0.0,0.0
helicopter,0.0,3.2775464890369133,0.0,0.0,0.0,0.0,0.0
good,0.0,0.0,0.0,0.0,0.0,0.0,0.0
